negre,negre2,marro,roig,roig2,taronja,groc,verd,blau,lila,gris,blanc,label
63.7928133573388,0,0.282841435185185,1.19103116426612,0,0,1.72164351851852,0,0,0.079705718449931,71.0688067986968,73.6858871313443,820k
63.7709512174211,0.052833504801097,0.513760288065844,0,0,0,0.90363511659808,0,0,0,68.6935763888889,99.6257716049383,100K
0,0.025050368655693,1.02569873113855,0.182639960562414,0,0,1.95392875514403,0,0,0.16943158436214,4.77323388203018,125.11201667524,120k
0,0,0.429044495884774,0,0,0,0.587545010288066,0,0,0,5.63086741255144,63.8178637259945,180k
0.186739111796982,0,1.12681112825789,0,0,0,1.25798396776406,0,0,0.050556198559671,6.35095164609054,173.435999657064,150k
0,0,0.704598551097394,0.460015860768176,0,0,1.36638374485597,0,0,0.210878557956104,6.5381462191358,165.010422025034,120k
0.059209962277092,0,1.33359053497942,0,0,0,2.00175218621399,0.440431027091907,0,0.075606567215364,7.1712373542524,156.412680041152,150k
63.75,0.01366383744856,1.84051890432099,0,0,0,2.29871292009602,0.066952803497942,0,0.022773062414266,70.4143089849108,99.4567954818244,150k
0,0,0.661785193758573,0,0,0,1.31036201131687,0,0,0,10.1276363168724,76.9342367541152,180k
0.059209962277092,0,1.33359053497942,0,0,0,2.00175218621399,0.440431027091907,0,0.075606567215364,7.1712373542524,156.412680041152,150k
63.8260620284636,0,0.01366383744856,0,0,0,0.672716263717421,0,0.227275162894376,0,72.3969317986968,88.1440489969136,680k
0,0,0.19767018175583,0,0,0.719173311042524,0.730559842249657,0,0,0.030060442386831,7.06784765089163,162.315002357682,390k
63.75,0,0.287396047668038,0,0,0.561128257887517,1.96668167009602,0,0,0.018218449931413,70.1761027520576,117.901609653635,390k
63.75,0.011386531207133,0.662696116255144,0.363458076131687,0,0,1.19285300925926,0,0,0.107488854595336,67.5248628257887,117.130969221536,120k
0,0,0,0,0,0,0.870841906721536,0,0,0,10.163617755487,164.591397676612,680k
0,0,0.081072102194787,0.088359482167353,0.085171253429355,0,2.58884173525377,0,0,3.30983689128944,5.40723593964335,181.374689214678,270k
0.050556198559671,0,0,0,0,0,1.06395747599451,0.034159593621399,0.111132544581619,0,7.42037465706447,128.737943672839,560k
63.75,0.011386531207133,0.662696116255144,0.363458076131687,0,0,1.19285300925926,0,0,0.107488854595336,67.5248628257887,117.130969221536,120k
63.7805159036351,0.011386531207133,0,0,0,0,1.84370713305898,0.104300625857339,0.078794795953361,0,73.6995509687929,97.0674457733196,560k
0.211334019204389,0.011386531207133,0.667706189986283,0,0,0,0.60075338648834,0.040991512345679,0,0,5.38628472222222,138.661988811728,150k
0.033704132373114,0,0,0,0,0,1.5827278377915,0,0.575703017832647,0.019129372427984,13.1910686728395,131.023903677984,680k
0,0,0,0,0,0,1.77675432956104,0,0,0.98242991255144,9.28230024005487,171.226101680384,470k
0.082893947187929,0,0,0,0,0,1.02478780864198,0,0,0,13.4374732081619,151.015919710219,680k
63.75,0,0,0,0,0,2.63484332133059,0,0,1.07534400720165,69.713809585048,73.3105870627572,470k
0,0.107033393347051,1.58181691529492,0.189471879286694,0.018673911179698,0,2.21581897290809,0,0,0.752421982167353,10.3922593021262,185.527584876543,120k
0.076062028463649,0,0.01366383744856,0,0,0,0.672716263717421,0,0.227275162894376,0,10.0397322959534,128.532075188615,680k
0.34569508744856,0.043268818587106,2.16070816186557,0,0,0,2.50776963305898,0,0,0.057388117283951,11.4065715020576,172.316475908779,100k
0,0,0,0.196759259259259,0,0,1.33677876371742,0,0,0.231374314128944,10.6832990397805,114.286158264746,820k
0,0.069685570987654,1.46066422325103,0,0,0,1.51531957304527,0,0,0,8.74075681584362,149.146251286008,180k
63.75,0,0,0,0,0,1.77675432956104,0,0,0.98242991255144,73.0354884687929,114.206908007545,470k
0.441341949588477,0.029149519890261,1.11542459705075,0,0,0,1.68702846364883,0,0,0,7.86854852537723,161.970673653978,100k
63.75,0,0.025050368655693,0.039625128600823,0,0,2.63529878257888,0,0,2.46814450445816,69.5211494770233,125.285091949588,270k
63.772317601166,0,0,0,0,0,1.86739111796982,0,0,1.67518647119342,70.0258005401235,99.7109428583677,470k
63.75,0,0,0.308347265089163,0,0,0.997460133744856,0,0,0.071507415980796,70.8624828532236,124.897949888546,820k
63.75,0,0,0,0,0,1.88469864540466,0,0,0.887238511659808,70.6078800154321,83.6627657750343,470k
63.75,0,0.081072102194787,0.088359482167353,0.085171253429355,0,2.58884173525377,0,0,3.30983689128944,69.1736325445816,123.003686556927,270k
0,0.011386531207133,0.483699845679012,0.821196630658436,0,0,0.491442686899863,0,0,0.303337191358025,4.71857853223594,47.5679173096708,220k
0,0,0.342051397462277,0,0,1.30762924382716,1.20879415294925,0,0,0.095646862139918,5.51700210048011,209.898860811042,330k
63.75,0,0.151213134430727,0,0,0.333853094993141,1.4492776920439,0,0,0,70.9918338477366,139.501403892318,390k
63.75,0.107033393347051,1.58181691529492,0.189471879286694,0.018673911179698,0,2.21581897290809,0,0,0.752421982167353,74.1431702246228,122.384259259259,120k
63.75,0,0,0,0,0.598931541495199,1.91293724279835,0,0,0,69.0092110339506,109.021937157064,390k
63.75,0,0,0,0,0,2.63484332133059,0,0,1.07534400720165,69.713809585048,73.3105870627572,470k
63.75,0.061942729766804,0.184917266803841,0.231829775377229,0,0,0.871297367969822,0,0,0.245493612825789,73.2800711591221,107.527113340192,820k
0.022317601165981,0,0,0,0,0,1.86739111796982,0,0,1.67518647119342,7.88767789780521,143.346407750343,470k
