,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,negre,negre2,marro,roig,roig2,taronja,groc,verd,blau,lila,gris,blanc,label
0,0,0,0,0,0,0,0,63.79281335733882,0.0,0.2828414351851852,1.191031164266118,0.0,0.0,1.7216435185185186,0.0,0.0,0.0797057184499314,71.06880679869684,73.6858871313443,820k
1,1,1,1,1,1,1,0,63.77095121742113,0.0528335048010973,0.5137602880658436,0.0,0.0,0.0,0.9036351165980796,0.0,0.0,0.0,68.69357638888889,99.62577160493828,100K
2,2,2,2,2,2,0,0,0.0,0.0250503686556927,1.025698731138546,0.1826399605624142,0.0,0.0,1.953928755144033,0.0,0.0,0.1694315843621399,4.773233882030178,125.11201667524006,120k
3,3,3,3,3,3,1,0,0.0,0.0,0.4290444958847736,0.0,0.0,0.0,0.5875450102880658,0.0,0.0,0.0,5.63086741255144,63.81786372599451,180k
4,4,4,4,4,0,0,0,0.1867391117969821,0.0,1.1268111282578874,0.0,0.0,0.0,1.2579839677640603,0.0,0.0,0.0505561985596707,6.350951646090535,173.43599965706449,150k
5,5,5,5,5,1,1,0,0.0,0.0,0.7045985510973937,0.4600158607681756,0.0,0.0,1.366383744855967,0.0,0.0,0.2108785579561042,6.538146219135802,165.0104220250343,120k
6,6,6,6,6,2,0,0,0.0592099622770919,0.0,1.333590534979424,0.0,0.0,0.0,2.001752186213992,0.4404310270919067,0.0,0.0756065672153635,7.1712373542524,156.41268004115227,150k
7,7,7,7,7,3,1,0,63.75,0.0136638374485596,1.840518904320988,0.0,0.0,0.0,2.298712920096022,0.0669528034979423,0.0,0.0227730624142661,70.41430898491083,99.4567954818244,150k
8,8,8,8,0,0,0,0,0.0,0.0,0.6617851937585734,0.0,0.0,0.0,1.3103620113168724,0.0,0.0,0.0,10.127636316872428,76.93423675411523,180k
9,9,9,9,1,1,1,0,0.0592099622770919,0.0,1.333590534979424,0.0,0.0,0.0,2.001752186213992,0.4404310270919067,0.0,0.0756065672153635,7.1712373542524,156.41268004115227,150k
10,10,10,10,2,2,0,0,63.826062028463646,0.0,0.0136638374485596,0.0,0.0,0.0,0.6727162637174211,0.0,0.2272751628943758,0.0,72.39693179869684,88.14404899691358,680k
11,11,11,11,3,3,1,0,0.0,0.0,0.1976701817558299,0.0,0.0,0.719173311042524,0.7305598422496571,0.0,0.0,0.0300604423868312,7.067847650891633,162.31500235768175,390k
12,12,12,12,4,0,0,0,63.75,0.0,0.2873960476680384,0.0,0.0,0.5611282578875172,1.966681670096022,0.0,0.0,0.0182184499314128,70.17610275205762,117.90160965363512,390k
13,13,13,13,5,1,1,0,63.75,0.011386531207133,0.662696116255144,0.3634580761316872,0.0,0.0,1.1928530092592593,0.0,0.0,0.107488854595336,67.52486282578874,117.13096922153636,120k
14,14,14,14,6,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8708419067215364,0.0,0.0,0.0,10.16361775548697,164.5913976766118,680k
15,15,15,15,7,3,1,0,0.0,0.0,0.0810721021947873,0.0883594821673525,0.0851712534293552,0.0,2.5888417352537725,0.0,0.0,3.3098368912894376,5.407235939643347,181.37468921467763,270k
16,16,16,0,0,0,0,0,0.0505561985596707,0.0,0.0,0.0,0.0,0.0,1.063957475994513,0.0341595936213991,0.1111325445816186,0.0,7.420374657064472,128.7379436728395,560k
17,17,17,1,1,1,1,0,63.75,0.011386531207133,0.662696116255144,0.3634580761316872,0.0,0.0,1.1928530092592593,0.0,0.0,0.107488854595336,67.52486282578874,117.13096922153636,120k
18,18,18,2,2,2,0,0,63.78051590363512,0.011386531207133,0.0,0.0,0.0,0.0,1.843707133058985,0.1043006258573388,0.0787947959533607,0.0,73.69955096879286,97.06744577331962,560k
19,19,19,3,3,3,1,0,0.2113340192043895,0.011386531207133,0.6677061899862826,0.0,0.0,0.0,0.6007533864883402,0.040991512345679,0.0,0.0,5.386284722222222,138.6619888117284,150k
20,20,20,4,4,0,0,0,0.0337041323731138,0.0,0.0,0.0,0.0,0.0,1.5827278377914953,0.0,0.5757030178326474,0.0191293724279835,13.191068672839506,131.02390367798353,680k
21,21,21,5,5,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.7767543295610426,0.0,0.0,0.9824299125514404,9.28230024005487,171.2261016803841,470k
22,22,22,6,6,2,0,0,0.0828939471879286,0.0,0.0,0.0,0.0,0.0,1.0247878086419753,0.0,0.0,0.0,13.437473208161864,151.0159197102195,680k
23,23,23,7,7,3,1,0,63.75,0.0,0.0,0.0,0.0,0.0,2.6348433213305897,0.0,0.0,1.075344007201646,69.71380958504801,73.31058706275721,470k
24,24,24,8,0,0,0,0,0.0,0.1070333933470507,1.5818169152949246,0.1894718792866941,0.0186739111796982,0.0,2.2158189729080933,0.0,0.0,0.7524219821673526,10.3922593021262,185.5275848765432,120k
25,25,25,9,1,1,1,0,0.0760620284636488,0.0,0.0136638374485596,0.0,0.0,0.0,0.6727162637174211,0.0,0.2272751628943758,0.0,10.03973229595336,128.53207518861453,680k
26,26,26,10,2,2,0,0,0.3456950874485596,0.0432688185871056,2.160708161865569,0.0,0.0,0.0,2.507769633058985,0.0,0.0,0.0573881172839506,11.406571502057613,172.31647590877915,100k
27,27,27,11,3,3,1,0,0.0,0.0,0.0,0.1967592592592592,0.0,0.0,1.336778763717421,0.0,0.0,0.2313743141289437,10.683299039780522,114.28615826474623,820k
